nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
Faen Cattery & Cat Service;Jl. H. Rasul, Koto Baru, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26217;-0.218738531739045;100.633365853326000;Kucing
ALVA PETSHOP PARIAMAN;Jl. M. Yamin No.8, Kampung Baru, Lohong, Kec. Pariaman Tengah, Kota Pariaman, Sumatera Barat 25000;-0.630899537902434;100.124536730785000;Anjing
ALVA PETSHOP PARIAMAN;Jl. M. Yamin No.8, Kampung Baru, Lohong, Kec. Pariaman Tengah, Kota Pariaman, Sumatera Barat 25000;-0.630899537902434;100.124536730785000;Kucing
ALVA PETSHOP PARIAMAN;Jl. M. Yamin No.8, Kampung Baru, Lohong, Kec. Pariaman Tengah, Kota Pariaman, Sumatera Barat 25000;-0.630899537902434;100.124536730785000;Lainnya
Sahabat Satwa Petshop Payakumbuh;Jl. Jeruk No.3, Labuh Basilang, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26229;-0.233273445134137;100.638935484105000;Kucing
KIHA-ZIMA Pet Care;Padang Datar, Payakumbuh Barat, Payakumbuh City, West Sumatra 26219;-0.220278797599558;100.618116043284000;Kucing
FELINE PETSHOP PAYAKUMBUH;Jl. Soekarno - Hatta No.93, Tj. Gadang, Koto nan empat, Kota Payakumbuh, Sumatera Barat 26225;-0.237527128630946;100.617290645778000;Kucing
Petshop Alghaniy Solok;Jl. Cindua Mato, Ps. Pandan Air Mati, Kec. Tj. Harapan, Kota Solok, Sumatera Barat 27317;-0.786554951097921;100.661413565137000;Kucing
Pasar Anjing Pemburu;Saok Laweh, Kubung, Solok Regency, West Sumatra 27317;-0.783681083471624;100.676335415595000;Anjing
CHICHIOCAT;Jl. Klp. 2 No.32, Batu Urip Taba, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan 31625;-3.279496517269970;102.896210673340000;Kucing
Cimoy Petshop Pagar Alam;Jl. Serma Somad No.13, Tumbak Ulas, Kec. Pagar Alam Sel., Kota Pagar Alam, Sumatera Selatan 31528;-4.024394685782930;103.257196099691000;Lainnya
Mania Market;Jl. Mayor Ruslan, Sukorejo, Kec. Pagar Alam Utara, Kota Pagar Alam, Sumatera Selatan 31519;-4.020704969138250;103.248781049959000;Lainnya
Achpry Animals ( Cak Puput Waspodo );Jl. Transmigrasi, dusun 6, Bukit Peninjauan I, Kec. Sukaraja, Kabupaten Seluma, Bengkulu 38877;-3.944331865283680;102.375866225406000;Lainnya
Kios Burung Ari;Jl. Dempo Raya, Nendagung, Kec. Pagar Alam Sel., Kota Pagar Alam, Sumatera Selatan 31581;-4.027703349232190;103.224753152874000;Lainnya
HOUSE PACAK LUCKY;Karang Jaya, Gandus, Palembang City, South Sumatra;-3.010158953353290;104.725687495888000;Kucing
Sriwijaya Animal Lover;Jl. Taman Kenten No.225, Duku, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30163;-2.955228158398330;104.771429647296000;Lainnya
Rinjani Bird Shop;Jl. Rinjani, Sako, Kec. Sako, Kota Palembang, Sumatera Selatan 30961;-2.922808057012350;104.792365666261000;Lainnya
Dr cat house;Lorong Panca Karya No.642, Srijaya, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30151;-2.951787707999740;104.730428006878000;Kucing
Luskyocat;Jl. Perumahan Asri Residence Blk. E No.9, Sukarami, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961;-2.927398950184100;104.720596910864000;Kucing
Penangkaran Burung Lovebird Ring NAUFAL BF;Lorong Sehati I, 3 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30111;-2.972774208581660;104.782107606457000;Lainnya
Comba cattery;Jl. Cinde Welan No.40, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30114;-2.981313114213020;104.753450164353000;Kucing
Ramah rabbit farm;Jl. Mataram No.220, Kemas Rindo, Kec. Kertapati, Kota Palembang, Sumatera Selatan 30257;-3.037556872476210;104.756263653309000;Lainnya
Rumah kucing fatimah;Jl. Relly Tvri, RT.001/RW.002, Prabu Jaya, Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan 31113;-3.416573582069090;104.241725498707000;Kucing
Kucingmedan&medan_aquatic;Jl. Veteran Ps. V, Helvetia, Kec. Sunggal, Medan, Sumatera Utara 20116;3.635966045803420;98.660517978071700;Kucing
Kucingmedan&medan_aquatic;Jl. Veteran Ps. V, Helvetia, Kec. Sunggal, Medan, Sumatera Utara 20116;3.635966045803420;98.660517978071700;Lainnya
Skinny Fish Aquaman;Denai, Medan Denai, Medan City, North Sumatra 20371;3.582630270752120;98.730334052139700;Lainnya
